FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.403,900,Bülowsvej,nord for Amalievej,18 eller 20,4,Frederiksberg Kommune,6500,"2,4",7600,8500,3200,"1,4",3300,3900,,,,,,,,,,,20110505,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/bpoJhR6dds.pdf,2.4000001,1.39999998,116,,,,,403,POINT (12.54302238354454 55.67988444323711)
trafiktaelling.404,901,H.C. Ørstedsvej,nord for Niels Ebbesens vej,27 eller 30,4,Frederiksberg Kommune,10600,"3,6",12400,13900,8200,"2,4",8400,10000,,,,,,,,,,,20110505,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/onERGS6Czn.pdf,3.5999999,2.4000001,142,,,,,404,POINT (12.54780492755579 55.67925854165049)
trafiktaelling.405,902,Vesterbrogade,øst for Pile Allé,187 eller 206,4,Frederiksberg Kommune,13700,"3,9",16000,17900,4300,"1,4",4400,5200,,,,,,,,,,,20110505,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aBXHAfBKvp.pdf,3.9000001,1.39999998,225,,,,,405,POINT (12.531984797933 55.67076595043853)
trafiktaelling.406,903,Pile Allé,syd for Vesterbrogade,25,4,Frederiksberg Kommune,10300,"5,7",12100,13500,4400,1,4500,5400,,,,,,,,,,,20110505,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZotCIsSr68.pdf,5.69999981,1,187,,,,,406,POINT (12.530974007175912 55.67032464553703)
trafiktaelling.407,904,Gammel Kongevej,øst for Allégade,178 eller 179,4,Frederiksberg Kommune,10190,"3,4",11900,13300,9989,"1,7",10300,12200,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/NSWKjngMAt.pdf,3.4000001,1.70000005,138,,,,,407,POINT (12.534451541696267 55.678043576241606)
trafiktaelling.408,905,Godthåbsvej,øst for Guldborgvej,64A eller 69,4,Frederiksberg Kommune,11000,"4,2",12900,14400,10300,"1,3",10600,12600,,,,,,,,,,,20120502,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/yunBOijtPy.pdf,4.19999981,1.29999995,199,,,,,408,POINT (12.528775692883881 55.687504373184545)
trafiktaelling.409,906,Finsensvej,øst for Lindevangs Allé,15,4,Frederiksberg Kommune,7400,"3,4",8700,9700,7700,2,7900,9400,,,,,,,,,,,20120502,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/u9MnU9C1Pr.pdf,3.4000001,2,108,,,,,409,POINT (12.519596922054006 55.681140303065575)
trafiktaelling.410,907,Peter Bangs Vej,vest for Orla Lehmanns Vej,8,4,Frederiksberg Kommune,10200,"3,8",11900,13400,7600,"1,5",7800,9300,,,,,,,,,,,20120502,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/pqdY50MYkH.pdf,3.79999995,1.5,214,,,,,410,POINT (12.51891444091746 55.67917078255459)
trafiktaelling.411,908,Frederiksberg Allé,øst for Pile Allé,102,4,Frederiksberg Kommune,6600,"5,2",7700,8600,3900,"3,1",4000,4800,,,,,,,,,,,20120502,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/0uinhIvuvS.pdf,5.19999981,3.0999999,164,,,,,411,POINT (12.533419291703368 55.674679588700855)
trafiktaelling.412,909,Finsensvej,øst for Sønderjyllands Allé,128 eller 145,4,Frederiksberg Kommune,9100,"3,4",10600,11900,3200,"1,5",3300,3900,,,,,,,,,,,20130522,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8MYAs7VLvf.pdf,3.4000001,1.5,98,,,,,412,POINT (12.496853000076756 55.68257909029761)
